city,state,country,2017,2018,2019,2020,2021,2022,2023,2024,2025
Chesterton,IN,US,,,,,,,,,10
Cheyenne,WY,US,,29,29,7,7,7,8,8,9
Chicago,IL,US,36,36,35,5,5,5,8,9,11
Chichester,(NA),GB,,,,,,,,,71
Chico,CA,US,,,44,44,47,47,48,51,57
Chilliwack,BC,CA,,,,,35,36,37,38,37
China Grove,NC,US,,,,,,,8,7,7
Chino,CA,US,,,,,19,17,21,22,24
Chino Hills,CA,US,,,,,,24,25,26,31
Chippewa Falls,WI,US,,,,,,,,55,57
Christchurch,(NA),NZ,,,,,,,53,58,63
Christiansburg,VA,US,,,,,28,26,24,24,28
Chula Vista,CA,US,19,19,17,21,21,22,23,26,26
Chunchula,AL,US,,,,,,,50,50,50
Cicero,IL,US,,,,,,,,,21
Cicero,IN,US,,,,,16,16,15,16,16
Cincinnati,OH,US,24,22,22,22,22,24,25,25,25
City of Durham,(NA),GB,,,,,,,,,59
City of London,(NA),GB,,,,,,68,,77,77
City of Manchester,(NA),GB,,,,,50,51,42,64,65
City of Nottingham,(NA),GB,,,,,,,,,61
Claremont,CA,US,,,,,18,16,22,23,23
Claremore,OK,US,,,,,,,18,15,15
Clarksburg,MD,US,,,,,,,,28,28
Clarksburg,WV,US,,,,,,,,24,25
Clarkston,GA,US,,,,,,9,10,11,11
Clarksville,IN,US,,,,,,,,7,7
Clarksville,TN,US,,23,22,22,23,24,24,25,21
Clarksville,VA,US,,,,,,,,20,38
Clay,WV,US,,,,,,,,38,38
Claymont,DE,US,,,,,,,,22,25
Clearfield,UT,US,,,,,,,27,29,30
Clearwater,FL,US,,,,,8,8,9,10,9
Cleburne,TX,US,,,,,,7,9,10,12
Clemson,SC,US,20,23,23,15,15,15,13,15,16
Cleona,PA,US,,,,,,,,10,10
Clermont,FL,US,29,30,14,14,14,13,13,14,13
Cleveland,OH,US,25,25,25,23,23,26,29,31,37
Cleveland,TN,US,,,,,,38,36,37,32
Cleveland Heights,OH,US,,,,,,,31,31,38
Clinton,MA,US,,,,,,,,13,12
Clinton,NY,US,,,,,,,14,14,15
Clinton Township,MI,US,,,,,,14,24,25,24
Clive,IA,US,,,,,,,,,56
Closter,NJ,US,,,,,29,29,28,28,29
Clovis,CA,US,,,,,,,21,27,26
Cochituate,MA,US,9,10,10,8,9,9,9,10,10
Cockrell Hill,TX,US,,,,,,6,10,11,12
Cody,WY,US,,,,,,,,,14
Coeur D'Alene,ID,US,,27,7,7,24,27,45,45,47
Coffs Harbour,NSW,AU,,,,,,30,,32,33
Colchester,(NA),GB,,,,,,,,45,50
Cole Harbour,NS,CA,,,,,,,36,34,34
College Park,GA,US,,,,,,7,7,12,12
College Park,MD,US,,,,,22,20,20,21,23
College Station,TX,US,,,,,,,18,21,21
Colleyville,TX,US,,,,,,10,23,23,21
Collierville,TN,US,,,,18,18,19,17,18,19
Collingswood,NJ,US,,,,,,,,23,25
Colorado Springs,CO,US,24,24,27,30,34,35,38,40,38
Columbia,IL,US,,,,,,,,11,12
Columbia,MD,US,20,19,16,15,18,20,35,37,35
Columbia,MO,US,,32,32,36,36,37,36,39,39
Columbia,SC,US,19,20,21,7,7,7,8,8,10
Columbia,TN,US,,,,,,,21,26,25
Columbia City,IN,US,,,,,,,,,15
Columbine Valley,CO,US,,,,,,6,6,7,19
Columbus,GA,US,,30,8,8,8,8,9,10,11
Columbus,IN,US,,,31,12,13,13,11,15,16
